stem,z_m,m_chi_GeV,dom4,dom5,sic_raw,sic_L,sic_S,sic_occ,sic_shellII,flipped
eval_signal_neg_91_5GeV,0.33,5.0,comb4,shellII,28.797786075619474,0.038731092948374304,30.050623986865897,0.01967739820199815,31.56439523793925,1
eval_signal_neg_58_5GeV,0.66,5.0,S,shellII,21.635948921050023,0.027798929616171877,22.40467836189576,0.007155417527999327,31.388547217433505,1
eval_signal_neg_24_5GeV,1.0,5.0,S,shellII,0.04158158933264301,0.034358227615493335,0.04879036790187177,0.014310835055998655,16.71951299026317,1
eval_signal_neg_20_5GeV,1.04,5.0,S,shellII,0.4959365166746935,0.0009370425713316364,0.5685138520739842,0.0,14.963303885101537,1
eval_signal_neg_16_5GeV,1.08,5.0,S,shellII,8.384606330310667,0.11525623627379128,8.678321525502499,0.045615786740995715,12.250961723795186,1
eval_signal_neg_8_5GeV,1.16,5.0,comb4,L,7.085773271643883,10.297473163887128,5.291280043618935,8.542674101240197,9.475028765405579,1
eval_signal_zero_5GeV,1.24,5.0,occ,occ,5.683493332198328,22.218528756368208,3.2770863774090544,40.700909326451175,7.170511256821966,0
eval_signal_neg_91_0.5GeV,0.33,0.5,S,shellII,0.03718678720805473,0.02405075933084533,0.0431335136523794,0.009838699100999075,8.383927486880069,1
eval_signal_neg_58_0.5GeV,0.66,0.5,comb4,shellII,0.012170221268090638,0.02405075933084533,0.013435028842544404,0.007155417527999327,2.839199312630606,1
eval_signal_neg_24_0.5GeV,1.0,0.5,L,shellII,0.008451542547285166,0.022801369235736484,0.00848528137423857,0.00894427190999916,0.036986484017813855,0
eval_signal_neg_20_0.5GeV,1.04,0.5,S,shellII,0.0358345404004891,0.0018740851426632728,0.03924442635585339,0.0008944271909999159,0.039906469598167585,0
eval_signal_neg_16_0.5GeV,1.08,0.5,S,S,0.5554353762075811,0.13368474017664678,0.5762920266670362,0.05187677707799512,0.06748411119039721,0
eval_signal_neg_8_0.5GeV,1.16,0.5,comb4,L,0.5442793400451647,10.523925118625609,0.393858477120907,8.764492044608176,0.1307504654313946,1
eval_signal_zero_0.5GeV,1.24,0.5,occ,occ,0.4252816209793895,22.166366719897415,0.2665792565073284,40.95403222150415,0.23100330369020583,0
eval_signal_neg_91_0.05GeV,0.33,0.05,comb4,shellII,0.004732863826479692,0.021551979140627637,0.0049497474683058325,0.008049844718999243,0.02887541296127573,0
eval_signal_neg_58_0.05GeV,0.66,0.05,L,L,0.006423172335936726,0.030922404853944,0.006717514421272202,0.00894427190999916,0.026604313065445057,0
eval_signal_neg_24_0.05GeV,1.0,0.05,comb4,L,0.006085110634045319,0.027798929616171877,0.006363961030678928,0.007155417527999327,0.024657656011875907,0
eval_signal_neg_20_0.05GeV,1.04,0.05,S,S,0.03651066380427192,0.0021864326664404847,0.04207285348059958,0.0017888543819998318,0.029199855803537254,0
eval_signal_neg_16_0.05GeV,1.08,0.05,S,S,0.4891752826368654,0.144304555985072,0.5073491155013479,0.059926621796994366,0.040555355282690636,0
eval_signal_neg_8_0.05GeV,1.16,0.05,comb4,L,0.4949223315690193,10.480821160344354,0.3620386719675124,8.595445305509193,0.09798173836298057,1
eval_signal_zero_0.05GeV,1.24,0.05,occ,occ,0.34583712103490893,22.172613670372957,0.23617366491630687,41.14812292195113,0.18947461988073064,0
eval_signal_neg_91_low,0.33,0.005,comb4,shellII,0.005747048932153913,0.024987801902176972,0.006363961030678928,0.009838699100999075,0.02984874148806031,0
eval_signal_neg_58_low,0.66,0.005,comb4,L,0.006761234037828133,0.024987801902176972,0.00742462120245875,0.0026832815729997475,0.024657656011875907,0
eval_signal_neg_24_low,1.0,0.005,comb4,shellII,0.00912766595106798,0.024363106854622545,0.00954594154601839,0.01073312629199899,0.02757764159222963,0
eval_signal_neg_20_low,1.04,0.005,S,S,0.03786291061183754,0.0021864326664404847,0.04101219330881976,0.0,0.02757764159222963,0
eval_signal_neg_16_low,1.08,0.005,S,S,0.5118254166635896,0.12962422236754303,0.5299765324993173,0.0393547964039963,0.04866642633922876,0
eval_signal_neg_8_low,1.16,0.005,comb4,L,0.48816109753119113,10.515179387959847,0.35779603128039306,8.759125481462176,0.09279065288679618,1
eval_signal_zero_low,1.24,0.005,occ,occ,0.3627402061294793,22.194790344561138,0.23475945135393378,40.89768330847115,0.20861674757416063,0
