stem,z_m,m_chi_GeV,n_seeds,raw_mean,raw_std,raw_n,L_mean,L_std,L_n,S_mean,S_std,S_n,occ_mean,occ_std,occ_n,comb_mean,comb_std,comb_n,majority_label,label_agreement_pct,dominance_agreement_pct,per_seed_labels
eval_signal_neg_16_0.05GeV,1.08,0.05,3,1.1646911643902846,0.09623323403700562,3,0.07218347833905295,0.06339921630519756,3,1.0821307967469023,0.17849132476854115,3,0.05802370205355739,0.0,3,0.4541571774140144,0.2398488443829383,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_16_0.5GeV,1.08,0.5,3,1.3173819564373748,0.11239131692509405,3,0.0668576889608176,0.058909478076323005,3,1.2231906797944894,0.2086092728548698,3,0.05022947341949744,0.0,3,0.49743430554468404,0.27120978849218097,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_16_5GeV,1.08,5.0,3,21.45330286274772,4.656260930658858,3,0.05561360295406093,0.050727531805470245,3,20.333544911637585,3.1823562155059966,3,0.04416729559300637,0.0,3,10.277468916152205,8.043696889992532,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_16_low,1.08,0.005,3,1.1561045653798419,0.09229247024377486,3,0.06207275126832159,0.05718368255001665,3,1.073532877176901,0.17603319411352164,3,0.038105117766515297,0.0,3,0.4582055016808172,0.23529122430019256,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_20_0.05GeV,1.04,0.05,3,0.06402787869564103,0.0039847132933275775,3,0.0012962536251429904,0.0009700479199615328,3,0.06382201112949631,0.007991494892981144,3,0.0017320508075688774,0.0,3,0.030454928992546856,0.012496478657352428,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_20_0.5GeV,1.04,0.5,3,0.06775639582244555,0.0033077188440935545,3,0.0009777521750857943,0.0008171025627750124,3,0.06661967223808431,0.008108871357947542,3,0.0008660254037844387,0.0,3,0.029734476581880512,0.012263016429889724,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_20_5GeV,1.04,5.0,3,1.6935837243676222,0.7485624338742014,3,0.00043702850280637586,0.0004178486395625572,3,1.6761334412633728,0.6388755720814598,3,0.0,0.0,3,0.874663301097335,0.8006343954691347,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_20_low,1.04,0.005,3,0.06113572295462003,0.0028962709130262304,3,0.0009851681167238628,0.0009865550439129528,3,0.06141287215182064,0.00653704394875412,3,0.0,0.0,3,0.030840160458447622,0.01185139909008469,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_24_0.05GeV,1.0,0.05,3,0.00623170437904268,0.00025325164222420087,3,0.012803967515366528,0.010717413190703386,3,0.006040500182727744,0.0001353141656238394,3,0.0069282032302755096,0.0,3,0.014917675509629963,0.008606005074494159,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_24_0.5GeV,1.0,0.5,3,0.009791245535821369,0.0003263110920239982,3,0.011011357854312613,0.00775745987763202,3,0.00937496383182596,0.0008255190630043963,3,0.008660254037844387,0.0,3,0.014428468621898255,0.005417976131385871,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_24_5GeV,1.0,5.0,3,0.29433986313933036,0.324578836962458,3,0.017989315081691486,0.011989088322450884,3,0.24929346350552797,0.25390023351156554,3,0.013856406460551019,0.0,3,0.19565453197199975,0.2169823043093332,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_24_low,1.0,0.005,3,0.009845210537108778,0.0011865532700360284,3,0.01225584716115733,0.008131335013076587,3,0.009519041517263004,0.0007202784000479369,3,0.010392304845413263,0.0,3,0.016737564588999537,0.0071325768429517265,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_58_0.05GeV,0.66,0.05,3,0.006785748980224047,0.0008481647520436441,3,0.015176277876643373,0.010587333630006024,3,0.006476935963199729,0.0009918791953326847,3,0.008660254037844387,0.0,3,0.01582826331948005,0.008461421553120478,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_58_0.5GeV,0.66,0.5,3,0.02865758512759143,0.018840841207692166,3,0.011952177594376272,0.008709383561987962,3,0.02580805056627678,0.012179627888088794,3,0.0069282032302755096,0.0,3,0.024737300389641063,0.00959939106506408,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_58_5GeV,0.66,5.0,3,23.648483475644753,6.719567852559085,3,0.013998551304249561,0.010477089607189816,3,22.735563483580638,5.422988691849887,3,0.0069282032302755096,0.0,3,18.661119351236685,7.604832566119385,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_58_low,0.66,0.005,3,0.008108101489766421,0.0010880486542653065,3,0.01218181575823656,0.009266822547348823,3,0.00794780536021225,0.0005501163980645667,3,0.002598076211353316,0.0,3,0.014597962531329665,0.007315966904291197,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_8_0.05GeV,1.16,0.05,3,1.1748217140554598,0.35767397371587245,3,6.03985541976953,4.623623269332778,3,0.847810837745522,0.124258960858431,3,8.32337015577224,0.0,3,6.116188122754483,4.451999372530985,3,no_stable_label,33.333333333333336,33.333333333333336,no_dominance;no_dominance;occ
eval_signal_neg_8_0.5GeV,1.16,0.5,3,1.34305684754013,0.42915358704581613,3,6.057262656492324,4.641225975140459,3,0.9472289282754826,0.15068127134225756,3,8.487048957087499,0.0,3,6.1474585791821434,4.468137820074577,3,no_stable_label,33.333333333333336,33.333333333333336,no_dominance;no_dominance;occ
eval_signal_neg_8_5GeV,1.16,5.0,3,16.38994252423372,4.680298630143328,3,5.917800572707523,4.5369715533917745,3,14.706874766507546,2.7617847546170213,3,8.27487273316031,0.0,3,10.559960919754696,6.902621459778289,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_8_low,1.16,0.005,3,1.1896650170823355,0.36557858645934543,3,6.05893635506025,4.638811503014804,3,0.846178406292913,0.12618539350142619,3,8.483584855472362,0.0,3,6.133954847012224,4.470902849248413,3,no_stable_label,33.333333333333336,33.333333333333336,no_dominance;no_dominance;occ
eval_signal_neg_91_0.05GeV,0.33,0.05,3,0.006511791460179642,0.0008769183384072512,3,0.012050315622547835,0.007898731931169363,3,0.006267460258043498,0.00027583468053924765,3,0.007794228634059948,0.0,3,0.013581199218239895,0.005800427198768915,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_91_0.5GeV,0.33,0.5,3,0.2276044792719533,0.25114846180281036,3,0.013167003134668715,0.008063406708728143,3,0.18514428742374195,0.1857085625794008,3,0.009526279441628824,0.0,3,0.14238375195909664,0.15388408761357886,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_91_5GeV,0.33,5.0,3,30.689874619183318,3.995734976970996,3,0.02194686402478445,0.01299739478957104,3,29.635928260918725,2.5163282373733677,3,0.019052558883257648,0.0,3,26.600056401417497,3.260807151671011,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_91_low,0.33,0.005,3,0.006801348410733373,0.00026095320926138244,3,0.012942922112109904,0.008207835599981412,3,0.006913371743671713,0.0006523260143820959,3,0.009526279441628824,0.0,3,0.014500414497971154,0.006494475120516888,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_zero_0.05GeV,1.24,0.05,3,0.7465852199880512,0.3197677400415112,3,16.627727675137354,11.876632237621404,3,0.46010521414886574,0.05575185462366949,3,39.93156534309668,0.0,3,16.494399131638446,11.634152610315045,3,occ,100.0,100.0,occ;occ;occ
eval_signal_zero_0.5GeV,1.24,0.5,3,0.8930496537738852,0.3901937196865799,3,16.599625900169777,11.86023456658479,3,0.5508739422086204,0.06088407044234785,3,39.747101932090594,0.0,3,16.471476331828597,11.615505144656561,3,occ,100.0,100.0,occ;occ;occ
eval_signal_zero_5GeV,1.24,5.0,3,12.723387452436178,6.34351652019276,3,16.517251399536573,11.802109293494716,3,10.037884378693228,2.9379911793986975,3,39.51587314928015,0.0,3,17.174513463058222,11.726468273334763,3,occ,100.0,100.0,occ;occ;occ
eval_signal_zero_low,1.24,0.005,3,0.7616859381931381,0.3281314870755858,3,16.627980073179966,11.879159812847362,3,0.4720687001208815,0.04934661887862898,3,39.685614128421896,0.0,3,16.505954165122944,11.638264830155318,3,occ,100.0,100.0,occ;occ;occ
