z_m,m_chi_GeV,stem,eb_a,es_a,sic_a_O0cut,sic_b_E0frac_cp,sic_c_3var_logit,sic_d_Tocc,sic_e_conformal
0.33,5.0,eval_signal_neg_91_5GeV,0.000433,0.0000,0.001,0.007,0.000,0.019,27.564
0.66,5.0,eval_signal_neg_58_5GeV,0.000433,0.0000,0.000,0.002,0.000,0.007,17.983
1.0,5.0,eval_signal_neg_24_5GeV,0.000433,0.0000,0.000,0.001,0.000,0.014,0.041
1.04,5.0,eval_signal_neg_20_5GeV,0.000433,0.0000,0.000,0.008,0.000,0.000,0.080
1.08,5.0,eval_signal_neg_16_5GeV,0.000433,0.0005,0.024,0.558,0.025,0.044,0.999
1.16,5.0,eval_signal_neg_8_5GeV,0.000433,0.0955,4.590,20.027,5.559,8.271,11.487
1.24,5.0,eval_signal_zero_5GeV,0.000433,0.4563,21.919,30.348,21.324,39.412,26.542
0.33,0.5,eval_signal_neg_91_0.5GeV,0.000433,0.0000,0.000,0.000,0.000,0.009,0.033
0.66,0.5,eval_signal_neg_58_0.5GeV,0.000433,0.0000,0.000,0.001,0.000,0.007,0.026
1.0,0.5,eval_signal_neg_24_0.5GeV,0.000433,0.0000,0.000,0.000,0.000,0.009,0.020
1.04,0.5,eval_signal_neg_20_0.5GeV,0.000433,0.0000,0.000,0.010,0.000,0.001,0.015
1.08,0.5,eval_signal_neg_16_0.5GeV,0.000433,0.0006,0.028,0.665,0.034,0.050,0.262
1.16,0.5,eval_signal_neg_8_0.5GeV,0.000433,0.0980,4.708,20.265,5.678,8.486,11.508
1.24,0.5,eval_signal_zero_0.5GeV,0.000433,0.4590,22.048,30.431,21.466,39.659,26.516
0.33,0.05,eval_signal_neg_91_0.05GeV,0.000433,0.0000,0.000,0.000,0.000,0.008,0.022
0.66,0.05,eval_signal_neg_58_0.05GeV,0.000433,0.0000,0.000,0.000,0.000,0.009,0.028
1.0,0.05,eval_signal_neg_24_0.05GeV,0.000433,0.0000,0.000,0.000,0.000,0.007,0.028
1.04,0.05,eval_signal_neg_20_0.05GeV,0.000433,0.0000,0.001,0.011,0.000,0.002,0.018
1.08,0.05,eval_signal_neg_16_0.05GeV,0.000433,0.0007,0.032,0.676,0.037,0.058,0.273
1.16,0.05,eval_signal_neg_8_0.05GeV,0.000433,0.0961,4.617,20.339,5.702,8.322,11.451
1.24,0.05,eval_signal_zero_0.05GeV,0.000433,0.4611,22.150,30.471,21.602,39.844,26.520
0.33,0.005,eval_signal_neg_91_low,0.000433,0.0000,0.000,0.001,0.000,0.009,0.024
0.66,0.005,eval_signal_neg_58_low,0.000433,0.0000,0.000,0.001,0.000,0.003,0.025
1.0,0.005,eval_signal_neg_24_low,0.000433,0.0000,0.000,0.000,0.000,0.010,0.024
1.04,0.005,eval_signal_neg_20_low,0.000433,0.0000,0.000,0.009,0.000,0.000,0.018
1.08,0.005,eval_signal_neg_16_low,0.000433,0.0004,0.021,0.651,0.023,0.038,0.263
1.16,0.005,eval_signal_neg_8_low,0.000433,0.0980,4.706,20.275,5.680,8.481,11.495
1.24,0.005,eval_signal_zero_low,0.000433,0.4582,22.014,30.468,21.485,39.601,26.565
